county,precinct,office,district,party,candidate,votes,other_votes,blank_votes,total_votes
Accomack County,101 - Chincoteague,President,,Democratic,Hillary R. Clinton,444,5,0,1680
Accomack County,101 - Chincoteague,President,,Republican,Donald J. Trump,1188,5,0,1680
Accomack County,101 - Chincoteague,President,,Libertarian,Gary Johnson,26,5,0,1680
Accomack County,101 - Chincoteague,President,,Independent,Evan McMullin,10,5,0,1680
Accomack County,101 - Chincoteague,President,,Green,Jill Stein,7,5,0,1680
Accomack County,201 - Atlantic,President,,Democratic,Hillary R. Clinton,175,1,0,750
Accomack County,201 - Atlantic,President,,Republican,Donald J. Trump,553,1,0,750
Accomack County,201 - Atlantic,President,,Libertarian,Gary Johnson,13,1,0,750
Accomack County,201 - Atlantic,President,,Independent,Evan McMullin,7,1,0,750
Accomack County,201 - Atlantic,President,,Green,Jill Stein,1,1,0,750
Accomack County,202 - Greenbackville,President,,Democratic,Hillary R. Clinton,302,3,0,1030
Accomack County,202 - Greenbackville,President,,Republican,Donald J. Trump,697,3,0,1030
Accomack County,202 - Greenbackville,President,,Libertarian,Gary Johnson,17,3,0,1030
Accomack County,202 - Greenbackville,President,,Independent,Evan McMullin,4,3,0,1030
Accomack County,202 - Greenbackville,President,,Green,Jill Stein,7,3,0,1030
Accomack County,301 - New Church,President,,Democratic,Hillary R. Clinton,713,5,0,1338
Accomack County,301 - New Church,President,,Republican,Donald J. Trump,592,5,0,1338
Accomack County,301 - New Church,President,,Libertarian,Gary Johnson,21,5,0,1338
Accomack County,301 - New Church,President,,Independent,Evan McMullin,4,5,0,1338
Accomack County,301 - New Church,President,,Green,Jill Stein,3,5,0,1338
Accomack County,401 - Bloxom,President,,Democratic,Hillary R. Clinton,141,0,0,496
Accomack County,401 - Bloxom,President,,Republican,Donald J. Trump,342,0,0,496
Accomack County,401 - Bloxom,President,,Libertarian,Gary Johnson,9,0,0,496
Accomack County,401 - Bloxom,President,,Independent,Evan McMullin,3,0,0,496
Accomack County,401 - Bloxom,President,,Green,Jill Stein,1,0,0,496
Accomack County,402 - Parksley,President,,Democratic,Hillary R. Clinton,218,1,0,736
Accomack County,402 - Parksley,President,,Republican,Donald J. Trump,489,1,0,736
Accomack County,402 - Parksley,President,,Libertarian,Gary Johnson,16,1,0,736
Accomack County,402 - Parksley,President,,Independent,Evan McMullin,7,1,0,736
Accomack County,402 - Parksley,President,,Green,Jill Stein,5,1,0,736
Accomack County,403 - Saxis,President,,Democratic,Hillary R. Clinton,42,0,0,200
Accomack County,403 - Saxis,President,,Republican,Donald J. Trump,153,0,0,200
Accomack County,403 - Saxis,President,,Libertarian,Gary Johnson,1,0,0,200
Accomack County,403 - Saxis,President,,Independent,Evan McMullin,3,0,0,200
Accomack County,403 - Saxis,President,,Green,Jill Stein,1,0,0,200
Accomack County,501 - Mappsville,President,,Democratic,Hillary R. Clinton,397,5,0,663
Accomack County,501 - Mappsville,President,,Republican,Donald J. Trump,243,5,0,663
Accomack County,501 - Mappsville,President,,Libertarian,Gary Johnson,10,5,0,663
Accomack County,501 - Mappsville,President,,Independent,Evan McMullin,1,5,0,663
Accomack County,501 - Mappsville,President,,Green,Jill Stein,7,5,0,663
Accomack County,502 - Rue,President,,Democratic,Hillary R. Clinton,385,2,0,521
Accomack County,502 - Rue,President,,Republican,Donald J. Trump,119,2,0,521
Accomack County,502 - Rue,President,,Libertarian,Gary Johnson,9,2,0,521
Accomack County,502 - Rue,President,,Independent,Evan McMullin,4,2,0,521
Accomack County,502 - Rue,President,,Green,Jill Stein,2,2,0,521
Accomack County,601 - Accomac,President,,Democratic,Hillary R. Clinton,486,4,0,1164
Accomack County,601 - Accomac,President,,Republican,Donald J. Trump,637,4,0,1164
